"","date","dist","m20","m25","m30","m35","m40","m45","m50","m55","f20","f25","f30","f35","f40","f45","f50","f55"
"1827","20180225",1109071040006,75,-161.566375677303,-325.111783391318,-309.460716435882,-205.890728476821,-93.1937086092715,-298.218543046358,-150.412332278004,-234,-309,-188,-75,-76,44,20,25
"1828","20180225",1111066030001,517.5,154.247742323901,-222.55282962071,-306.503612281758,-484.593467790488,-239.790487658037,-168.855207706201,-209.976520168573,270.5,-122,-339,-304,-213,152,190,35
"1829","20180225",1113075030009,-261,-613.318934376881,8.14795304033714,-190.116947621915,-256.702588801927,-206.085641180012,-201.048047589994,-49.146447922938,-473,-592,136.5,149.5,-259.5,-275,-222,-213
"1830","20180225",1115051010002,-595,-199.072268907563,-405.42700729927,-269.429166666667,-119.683774834437,152.605960264901,105.475165562914,229.533112582781,NA,-423.5,-298,NA,6,298.5,280,263.5
"1831","20180225",1117051030002,48,-557.842572062084,-710.771207053816,-418.032209512342,-404.648902821317,-247.124875124875,-233.912447552448,-310.832442067736,-246,-909,-831,-654,-214,-95,48,-390
"1832","20180225",1119074050006,-162,-346.560355207706,-563.529199277544,-648.457555689344,-342.629891631547,-633.062462372065,-146.719747140277,-422.827212522577,-32,-48,-140,-203,-152,-139,-122,-238
"1833","20180225",1121052010001,-119,-218.48946716233,-82.8796352583587,-575.695176618254,-286.532882011605,-259.600405165865,162.07676056338,-59.0060490289717,48,-552,-78.5,-109,-42.5,-45,65,-158
"1834","20180225",1122060020102,147,-29.8269114990969,-212.044551475015,-265.567579771222,-416.622817579771,-423.685279951836,-235.256020469597,-150.516556291391,47,77,-74,-249,-187,-122,-55,-42.5
"1835","20180225",1123051010203,3,-475.129026485326,-522.509090909091,-478.603964170002,-520.422653256705,2.09718076285242,-111.265,-188.240066225166,-203.5,-416,-365,-263,236,161,-248,-255
"1836","20180225",1123058040001,49,-164.287025888019,-303.421131848284,-232.504816375677,-212.740668272125,-99.1422335942203,-47.841059602649,-42.1687236604455,-93,-304,-134,-28,-62,58,0,154
"1837","20180225",1123063020012,-119,264.233207190161,-17.9451277199622,-108.206244087039,66.7201986754967,-126.360099337748,94.8090507726269,129.950331125828,-236,275,-119,412.5,-198,-127.5,-77,366
"1838","20180225",1124077030001,910,1727.16511137869,913.062161348585,646.684978928356,393.699428055388,162.622667068031,-78.2167369054786,-140.619054786273,1673,1518,1830,1388,532,517,-74,84
"1839","20180225",1124080020103,365,116.427302829621,113.76745936183,528.899006622516,449.237808549067,161.994130042143,-69.6289885611077,25.9515352197471,325.5,582,694,858,453,393,526,364.5
"1840","20180225",1125073030007,547,82.1550270921132,64.1154425045153,-123.46357615894,-443.830975316075,-377.060656231186,-19.0334136062613,-4.27799518362428,177.5,158,-89,175,324,-265,189,-247
"1841","20180303",1102052020001,-6,470.637266706803,724.766405779651,655.370860927152,452.41044551475,216.526791089705,-111.980132450331,-45.3093016255268,447,291,234.5,-193,-54,206,415.5,166
"1842","20180303",1108068010002,56,73.8152866242038,32.9630021141649,-178.337058290547,-177.889367490365,-251.181985601875,-44.1590117199873,-33.4404609475032,-123,-204,-105,-126,-45,-484,-122,-21
"1843","20180303",1109071040006,100,-21.2027393136665,-264.202692482227,-223.733443708609,-145.163455749548,-12.739163154726,-232.491270319085,-73.0486959143676,-110,-107,-106,35,34,55,140,113
"1844","20180303",1111066030001,1054.5,341.247742323901,3.81080674292593,88.405478627333,-174.957104154124,74.48223961469,12.6902468392535,-83.2492474413004,999.5,363,85,100,62,480,449,320
"1845","20180303",1113075030009,-289,-431.955298013245,166.057043949428,-209.389674894642,-187.884406983745,-164.812913907285,-319.229865771812,-174.237357013847,-531,-513,26.5,-59.5,-334.5,-412,-291,-281
"1846","20180303",1115051010002,NA,-90.0722689075631,NA,NA,57.4828918322296,-107.394039735099,73.4751655629139,278.533112582781,NA,-324,-298,40,43.5,-51,354,232.5
"1847","20180303",1117051030002,-140,-554.660753880266,-695.134843417452,-385.759482239615,-314.739811912226,-237.852147852148,-78.4579020979021,-353.559714795009,-189,-918,-825,-702,-151,4,54,-31
"1848","20180303",1119074050006,-69,-279.560355207706,-580.801926550271,-630.275737507526,-539.35716435882,-585.880644190247,-383.174292594822,-467.46357615894,17,38,-95,-189,-95,-95,-83,-157
"1849","20180303",1121052010001,-97,-78.1561338289963,-227.552362531086,-523.149722072799,-66.0510638297872,-338.336768802228,36.4767605633803,-59.4187474416701,-236,-464.5,-179.5,-272,-63,16,33,-97.5
"1850","20180303",1122060020102,55,-64.6450933172787,-205.953642384106,-331.567579771222,-363.350090307044,-440.3216435882,-251.165111378688,-102.971101745936,47,12,-52,-249,-220,-144,-66,-64.5
"1851","20180303",1123051010203,3,-448.745188101487,-455.620202020202,-309.284519725558,-393.200431034483,-27.1028192371476,-98.265,-127.240066225166,-617,-782,-744,-689,236,-47,-129,-83
"1852","20180303",1123058040001,5,-81.2870258880192,-368.148404575557,-212.777543648405,-236.467940999398,-65.6876881396749,-39.9319686935581,-6.98690547862734,-166,-357,-141,-38,-103,-12,0,122
"1853","20180303",1123063020012,376.5,407.947492904447,265.197729422895,118.829470198675,54.4344843897824,-15.9850993377484,285.14238410596,8.4503311258278,152,360.5,159,253,-187,-221,-88,304
"1854","20180303",1124077030001,605,1457.2560204696,1087.51670680313,850.957706201084,535.790337146297,180.986303431668,-110.307645996388,-65.9826911499097,1374,1583,2135,1690,308,439,335,297
"1855","20180303",1124080020103,384,301.154575556893,366.040186634557,234.444461167971,453.510535821794,230.539584587598,133.825556893438,86.4969897652017,408.5,1417,1072,1144,1026,639,719,618.5
"1856","20180303",1125073030007,392,50.1550270921132,-105.702739313666,-57.0999397953041,-375.28552077062,-8.42429259482242,-196.669777242625,-244.187086092715,96,-79,113,-331,284,-298,-242,-236
"1857","20180304",1102052020001,-131,519.00090307044,414.948223961469,344.734497290789,105.137718242023,-48.8368452739314,-241.252859723058,-251.582028898254,414,-101,201.5,-293,75,-177,-116.5,-198
"1858","20180304",1108068010002,48,83.4516502605675,9.87209302325579,-377.882512836001,-405.798458399456,-239.000167420057,-37.8862844472601,-66.258642765685,25,-188,-47,-519,-406,-492,29,-158
"1859","20180304",1109071040006,88,-4.93001204093918,-261.202692482227,-190.733443708609,-121.254364840458,4.98810957254668,-233.309452137267,-87.3214231870948,-110,-131,-29,24,23,176,97,69
"1860","20180304",1111066030001,715.5,228.33865141481,-84.9164659843468,-112.685430463576,-297.775285972306,-32.2450331125827,-108.309753160747,-126.794701986755,997.5,-117,53,-267,68,212,251,276
"1861","20180304",1113075030009,-282,-596.955298013245,-70.3975015051174,-227.662402167369,-260.702588801927,-207.26745936183,-269.866229408176,-20.6009933774835,-506,-576,118.5,-51.5,-206.5,-222,-234,-222
"1862","20180304",1115051010002,-88,-144.572268907563,-405.42700729927,NA,-105.683774834437,-105.560706401766,13.4751655629139,229.533112582781,-351,-523,-298,NA,-300,86,372,338
"1863","20180304",1117051030002,11,-286.388026607539,-750.31666159927,-458.486754966887,-424.739811912226,-257.488511488512,-132.457902097902,-95.2869875222817,-102,-374,-873,-686,-620,-46,91,-38
"1864","20180304",1119074050006,-101,-311.833082480433,-594.620108368453,-586.275737507526,-520.448073449729,-593.426098735701,-355.44701986755,-422.281757977122,-23,-92,-164,-208,-163,-160,-135,-216
"1865","20180304",1121052010001,-43,-165.256133828996,-371.168524147248,-488.422449345526,-194.987427466151,-242.236768802228,97.2100938967136,64.8383954154727,-236,-470,-273,-195,-150,-45,-44,-180
"1866","20180304",1122060020102,123,30.5367248645395,-123.044551475015,-214.840307043949,-303.804635761589,-305.776189042745,-172.710565924142,-73.4256472004816,80,109,-41,-139,-176,-100,-11,-53.5
"1867","20180304",1123051010203,3,-263.189632545932,-552.509090909091,-500.284519725558,-420.771859605911,-18.3528192371476,24.485,-100.156732891832,-247,-324,-330,-293,117.5,161,-248,-83
"1868","20180304",1123058040001,38,-123.014298615292,-299.966586393739,-233.141180012041,-237.649759181216,-41.3240517760385,-44.3865141481035,-22.623269114991,-152,-402,-134,-28,-103,20,33,7
